https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1636556400000,2021-11-10 15:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,7791012.00000000,7790655.05320000,2799
1636552800000,2021-11-10 14:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,15322320.00000000,15321323.40520000,3586
1636549200000,2021-11-10 13:00:00,USDC/USDT,0.99990000,1.00000000,0.99980000,1.00000000,8418998.00000000,8418223.10000000,2873
1636545600000,2021-11-10 12:00:00,USDC/USDT,0.99990000,0.99990000,0.99980000,0.99980000,5311175.00000000,5310347.65000000,2221
1636542000000,2021-11-10 11:00:00,USDC/USDT,0.99990000,0.99990000,0.99980000,0.99990000,8340065.00000000,8338554.87220000,2392
1636538400000,2021-11-10 10:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99980000,9825106.00000000,9823306.15250000,2900
1636534800000,2021-11-10 09:00:00,USDC/USDT,0.99990000,0.99990000,0.99980000,0.99980000,7001118.00000000,7000123.82240000,1882
1636531200000,2021-11-10 08:00:00,USDC/USDT,0.99970000,0.99990000,0.99970000,0.99980000,5100854.00000000,5099737.74800000,1699
1636527600000,2021-11-10 07:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99980000,5987856.00000000,5986410.35240000,1830
1636524000000,2021-11-10 06:00:00,USDC/USDT,1.00010000,1.00020000,0.99970000,0.99970000,10898381.00000000,10898442.55760000,3085
1636520400000,2021-11-10 05:00:00,USDC/USDT,1.00000000,1.00040000,0.99990000,1.00010000,15187047.00000000,15189541.14980000,3060
1636516800000,2021-11-10 04:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,3335508.00000000,3335362.98780000,1565
1636513200000,2021-11-10 03:00:00,USDC/USDT,1.00000000,1.00010000,0.99990000,0.99990000,8850500.00000000,8850281.48350000,1472
1636509600000,2021-11-10 02:00:00,USDC/USDT,1.00010000,1.00010000,1.00000000,1.00010000,3551171.00000000,3551249.57400000,1319
